INFO 2025-03-11 00:44:34,655 basehttp "POST /marketplace/signin/ HTTP/1.1" 200 524
WARNING 2025-03-11 00:44:35,273 log Not Found: /marketplace/user/profile/
WARNING 2025-03-11 00:44:35,276 basehttp "GET /marketplace/user/profile/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:44:41,036 log Not Found: /marketplace/user/profile/
WARNING 2025-03-11 00:44:41,045 basehttp "GET /marketplace/user/profile/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:44:54,613 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:44:54,627 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
INFO 2025-03-11 00:44:54,693 basehttp "GET /marketplace/api/wishlist/ HTTP/1.1" 200 52
INFO 2025-03-11 00:44:56,996 basehttp "GET /marketplace/api/wishlist/ HTTP/1.1" 200 52
WARNING 2025-03-11 00:45:01,253 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:45:01,264 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:45:05,381 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:45:05,395 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:45:09,982 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:45:09,983 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:45:16,624 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:45:16,626 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:45:23,675 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:45:23,678 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:45:26,452 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:45:26,455 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:45:39,561 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:45:39,566 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:45:45,989 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:45:45,994 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:45:55,996 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:45:55,997 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:46:09,906 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:46:09,909 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:48:39,376 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:48:39,383 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
INFO 2025-03-11 00:48:39,459 basehttp "GET /marketplace/api/wishlist/ HTTP/1.1" 200 52
INFO 2025-03-11 00:48:40,656 basehttp "GET /marketplace/api/wishlist/ HTTP/1.1" 200 52
WARNING 2025-03-11 00:48:49,184 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:48:49,191 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:48:54,136 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:48:54,139 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:48:59,298 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:48:59,303 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:49:02,581 log Not Found: /ws/marketplace/
WARNING 2025-03-11 00:49:02,587 basehttp "GET /ws/marketplace/ HTTP/1.1" 404 179
WARNING 2025-03-11 00:49:09,580 log Not Found: /ws/marketplace/
